avg_coord,x_y_grid_pt,city_state,current_temp,wind,description
-37.2915,"101, 58","El Paso,TX",54.0,5 mph,Mostly Cloudy
-68.2583,"154, 145","Honolulu,HI",81.0,20 mph,Isolated Rain Showers
-36.0099,"47, 19","McAllen,TX",70.0,2 to 7 mph,Partly Cloudy
-35.77055,"98, 119","Albuquerque,NM",40.0,5 to 10 mph,Partly Cloudy
-26.6355,"59, 84","Birmingham,AL",63.0,5 mph,Mostly Clear
-27.60225,"69, 70","Sarasota,FL",70.0,10 mph,Partly Cloudy
-22.21005,"43, 68","Dayton,OH",39.0,9 mph,Partly Cloudy
-17.224100000000004,"75, 64","Rochester,NY",38.0,10 to 14 mph,Partly Cloudy
-41.5055,"52, 102","Fresno,CA",48.0,5 to 10 mph,Chance Light Rain
-17.43975,"34, 102","Allentown,PA",42.0,10 mph,Mostly Clear
-29.8879,"43, 102","Tulsa,OK",59.0,5 to 10 mph,Mostly Cloudy then Chance Showers And Thunderstorms
-27.6755,"93, 41","Cape Coral,FL",69.0,9 mph,Partly Cloudy
-42.0147,"101, 111","Concord,CA",45.0,12 to 17 mph,Rain Showers
-32.9466,"91, 92","Colorado Springs,CO",36.0,5 mph,Mostly Cloudy
-23.57375,"84, 77","Charleston,SC",64.0,5 to 10 mph,Mostly Clear
-15.212000000000003,"24, 70","Springfield,MA",37.0,9 mph,Clear
-21.3471,"40, 46","Grand Rapids,MI",33.0,6 mph,Mostly Clear
-42.02275,"44, 55","Mission Viejo,CA",54.0,10 to 15 mph,Rain Showers Likely then Light Rain
-15.566149999999997,"56, 58","Albany,NY",37.0,9 mph,Clear
-23.9902,"70, 51","Knoxville,TN",53.0,5 mph,Partly Cloudy then Patchy Fog
-41.8415,"68, 34","Bakersfield,CA",50.0,0 to 5 mph,Slight Chance Light Rain then Mostly Cloudy
-35.3702,"99, 196","Ogden,UT",41.0,14 to 18 mph,Rain
-30.3446,"27, 109","Baton Rouge,LA",68.0,0 mph,Partly Cloudy then Patchy Fog
-20.22105,"90, 46","Akron,OH",36.0,3 to 8 mph,Partly Cloudy
-15.8067,"65, 67","New Haven,CT",43.0,6 to 9 mph,Clear
-23.43305,"69, 63","Columbia,SC",61.0,5 to 9 mph,Partly Cloudy
-39.158150000000006,"171, 53","Mesa,AZ",54.0,5 mph,Mostly Clear
-26.35385,"56, 46","Palm Bay,FL",72.0,15 mph,Slight Chance Rain Showers
-35.7,"105, 150","Provo,UT",45.0,13 mph,Chance Light Rain
-14.768700000000004,"47, 82","Worcester,MA",37.0,10 mph,Clear
-41.80945,"61, 50","Murrieta,CA",53.0,10 to 15 mph,Rain Showers Likely then Light Rain Likely
-23.7647,"64, 41","Greenville,SC",59.0,5 to 12 mph,Mostly Cloudy
-29.8273,"61, 33","Wichita,KS",55.0,12 mph,Cloudy then Patchy Fog
-20.95915,"17, 66","Toledo,OH",39.0,8 mph,Mostly Clear
-16.783100000000005,"28, 27","Staten Island,NY",45.0,13 mph,Mostly Clear
-26.019,"73, 47","Des Moines,IA",37.0,9 mph,Partly Cloudy
-42.18470000000001,"155, 32","Long Beach,CA",55.0,10 to 15 mph,Rain Showers then Rain
-26.55435,"70, 17","Port St. Lucie,FL",72.0,10 mph,Slight Chance Rain Showers
-31.962150000000005,"76, 123","Denton,TX",67.0,5 to 10 mph,Chance Showers And Thunderstorms
-23.15525,"37, 64","Madison,WI",35.0,5 to 10 mph,Partly Cloudy
-40.1493,"43, 106","Reno,NV",28.0,5 mph,Light Snow
-18.30455,"105, 37","Harrisburg,PA",42.0,6 mph,Mostly Clear
-28.816000000000003,"79, 71","Little Rock,AR",59.0,5 to 10 mph,Patchy Drizzle
-42.2131,"92, 104","Oakland,CA",46.0,13 to 20 mph,Showers And Thunderstorms
-21.46185,"63, 64","Durham,NC",51.0,7 to 10 mph,Clear
-22.0791,"14, 64","Winston-Salem,NC",51.0,10 mph,Mostly Clear
-41.25,"97, 52","Indio,CA",54.0,5 to 10 mph,Slight Chance Rain Showers then Chance Light Rain
-25.8534,"84, 30","Palm Coast,FL",70.0,10 mph,Slight Chance Rain Showers
-25.09155,"26, 8","Chattanooga,TN",61.0,5 mph,Partly Cloudy
-34.88295000000001,"140, 90","Spokane,WA",18.0,6 mph,Partly Cloudy
-16.55145,"51, 98","Syracuse,NY",38.0,9 mph,Partly Cloudy
-18.12955,"126, 29","Lancaster,PA",41.0,7 mph,Mostly Clear
-32.212599999999995,"76, 100","Arlington,TX",67.0,5 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-41.6672,"41, 39","Stockton,CA",49.0,7 to 18 mph,Rain
-16.113050000000005,"59, 14","Poughkeepsie,NY",39.0,8 mph,Clear
-24.353150000000003,"29, 29","Augusta,GA",64.0,5 to 9 mph,Partly Cloudy
-36.31525,"131, 84","Boise,ID",32.0,8 mph,Mostly Cloudy
-42.4926,"121, 56","Oxnard,CA",53.0,10 to 15 mph,Rain Showers then Rain
-17.13025,"78, 26","Scranton,PA",38.0,6 mph,Partly Cloudy
-41.6827,"49, 22","Modesto,CA",49.0,7 to 17 mph,Rain
-26.5561,"26, 58","Kissimmee,FL",70.0,5 to 10 mph,Partly Cloudy
-32.5093,"71, 58","Aurora,CO",42.0,15 to 18 mph,Mostly Cloudy
-19.7735,"120, 50","Youngstown,OH",35.0,2 to 8 mph,Partly Cloudy
-29.04735,"106, 100","Fayetteville,AR",55.0,5 mph,Mostly Cloudy
-42.0091,"38, 66","Anaheim,CA",55.0,5 to 10 mph,Rain Showers Likely then Light Rain
-28.37295,"84, 57","Pensacola,FL",67.0,5 mph,Mostly Clear
-41.41295,"62, 93","Victorville,CA",47.0,15 to 20 mph,Chance Rain Showers then Light Rain Likely
-41.7409,"161, 72","Lancaster,CA",48.0,15 to 25 mph,Rain Showers Likely then Rain
-21.86565,"29, 65","Greensboro,NC",51.0,8 to 12 mph,Mostly Clear
-34.82475,"112, 30","Corpus Christi,TX",72.0,6 to 9 mph,Partly Cloudy then Slight Chance Rain Showers
-22.02755,"68, 37","Fort Wayne,IN",36.0,5 mph,Partly Cloudy
-42.07265,"37, 62","Santa Ana,CA",56.0,5 to 15 mph,Rain Showers Likely then Light Rain
-20.33435,"40, 63","Flint,MI",32.0,2 mph,Mostly Clear
-21.9465,"65, 24","Fayetteville,NC",55.0,7 to 13 mph,Mostly Clear
-28.94805,"74, 62","Jackson,MS",66.0,0 mph,Mostly Clear then Patchy Fog
-42.13045,"81, 137","Santa Rosa,CA",42.0,7 to 12 mph,Showers And Thunderstorms
-20.922950000000004,"78, 37","Lansing,MI",33.0,5 mph,Mostly Clear
-23.82995,"164, 125","San Juan,PR",75.0,6 mph,Scattered Rain Showers
-23.2082,"95, 71","Lexington,KY",43.0,10 mph,Partly Cloudy
-20.72785,"42, 28","Ann Arbor,MI",34.0,5 mph,Partly Cloudy
-39.51235,"124, 89","Henderson,NV",52.0,15 to 18 mph,Partly Cloudy
-25.9712,"60, 40","Huntsville,AL",61.0,0 mph,Mostly Clear
-28.718950000000003,"48, 66","Mobile,AL",66.0,0 to 5 mph,Mostly Clear
-32.2589,"62, 97","Fort Collins,CO",32.0,6 mph,Mostly Cloudy
-23.4916,"55, 73","Asheville,NC",51.0,3 mph,Partly Cloudy
-42.03945,"148, 61","Santa Clarita,CA",48.0,15 mph,Rain Showers then Rain
-24.07815,"113, 70","St. Paul,MN",33.0,5 to 10 mph,Partly Cloudy
-41.90845,"108, 110","Antioch,CA",51.0,10 to 18 mph,Rain Showers
-26.94945,"89, 103","Lakeland,FL",69.0,8 mph,Partly Cloudy
-17.27025,"61, 89","Trenton,NJ",44.0,10 mph,Mostly Clear
-27.9349,"56, 39","Lincoln,NE",44.0,12 mph,Mostly Cloudy
-28.04865,"66, 33","Springfield,MO",51.0,10 mph,Mostly Cloudy
,,"Anchorage,AK",,,
-31.84925,"90, 115","Plano,TX",67.0,5 to 10 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-42.0483,"40, 59","Irvine,CA",56.0,5 to 15 mph,Rain Showers Likely then Light Rain
-24.52445,"66, 67","Davenport,IA",35.0,10 mph,Mostly Clear
-23.4022,"25, 87","Rockford,IL",35.0,5 to 10 mph,Partly Cloudy
-16.724,"26, 34","Newark,NJ",45.0,13 mph,Mostly Clear
-22.29645,"28, 62","South Bend,IN",34.0,5 mph,Partly Cloudy
-30.665,"74, 66","Shreveport,LA",67.0,5 mph,Patchy Fog
-22.851050000000004,"58, 94","Round Lake Beach,IL",37.0,5 to 10 mph,Partly Cloudy
-24.57515,"43, 38","Savannah,GA",65.0,3 to 8 mph,Mostly Clear
-22.58735,"57, 40","Myrtle Beach,SC",60.0,6 to 15 mph,Partly Cloudy
-42.1932,"60, 8","Chula Vista,CA",56.0,5 to 15 mph,Chance Rain Showers then Light Rain Likely
-39.5305,"83, 39","Eugene,OR",34.0,6 mph,Mostly Cloudy then Areas Of Frost
-20.2801,"97, 34","Canton,OH",35.0,5 to 9 mph,Partly Cloudy
-34.16095,"47, 32","Lubbock,TX",57.0,10 mph,Cloudy then Patchy Drizzle
-17.793349999999997,"20, 88","Reading,PA",43.0,10 mph,Mostly Clear
-26.84495,"99, 102","Winter Haven,FL",69.0,7 mph,Partly Cloudy
-39.05075000000001,"95, 78","Salem,OR",34.0,1 to 6 mph,Mostly Cloudy then Areas Of Frost
-27.43605,"63, 89","St. Petersburg,FL",70.0,9 mph,Partly Cloudy
-30.911950000000004,"104, 93","Lafayette,LA",67.0,5 mph,Mostly Clear then Patchy Fog
-35.9623,"30, 25","Laredo,TX",71.0,8 to 13 mph,Mostly Cloudy
-16.676050000000004,"30, 34","Jersey City,NJ",45.0,12 to 15 mph,Mostly Clear
-22.62165,"125, 72","Concord,NC",55.0,9 mph,Mostly Clear
-26.18355,"36, 30","Columbus,GA",65.0,5 mph,Mostly Clear
-39.2845,"165, 48","Chandler,AZ",50.0,5 mph,Mostly Clear
-31.7327,"93, 122","McKinney,TX",67.0,5 to 10 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-39.08895,"167, 66","Scottsdale,AZ",53.0,5 to 10 mph,Mostly Clear
-33.3271,"52, 28","Killeen,TX",65.0,5 mph,Partly Cloudy
-26.89875,"84, 86","Tallahassee,FL",65.0,0 to 5 mph,Clear
-24.43165,"46, 98","Peoria,IL",36.0,8 to 13 mph,Partly Cloudy
-21.8383,"90, 66","Wilmington,NC",58.0,7 to 14 mph,Mostly Clear
-26.95965,"82, 33","Montgomery,AL",65.0,5 mph,Mostly Clear
-39.21810000000001,"169, 49","Gilbert,AZ",50.0,5 mph,Mostly Clear
-39.326,"153, 63","Glendale,AZ",53.0,5 mph,Mostly Clear
-39.401050000000005,"124, 102","North Las Vegas,NV",52.0,15 mph,Mostly Cloudy
-19.812300000000004,"90, 43","Chesapeake,VA",52.0,8 to 17 mph,Clear
-14.34385,"100, 63","Barnstable,MA",42.0,18 mph,Clear
-19.68225,"90, 53","Norfolk,VA",52.0,13 to 24 mph,Clear
-42.22935,"98, 91","Fremont,CA",47.0,12 to 18 mph,Rain Showers
-36.4877,"123, 125","Kennewick,WA",31.0,10 mph,Isolated Rain Showers then Mostly Cloudy
-31.86025,"94, 109","Garland,TX",67.0,5 mph,Mostly Cloudy
-32.0559,"82, 107","Irving,TX",67.0,5 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-41.49965,"65, 79","Visalia,CA",45.0,5 to 10 mph,Chance Light Rain
-17.536499999999997,"77, 53","Atlantic City,NJ",49.0,15 to 20 mph,Mostly Clear
-39.5281,"121, 93","Paradise,NV",53.0,13 to 17 mph,Partly Cloudy
-14.37095,"42, 9","Nashua,NH",40.0,10 mph,Clear
-19.11125,"94, 70","Arlington,VA",45.0,13 mph,Mostly Clear
-27.2175,"104, 53","Hialeah,FL",72.0,9 to 13 mph,Slight Chance Rain Showers
-18.3832,"112, 24","York,PA",39.0,6 mph,Mostly Clear
-24.773,"167, 97","Evansville,IN",47.0,7 mph,Mostly Cloudy
-39.4689,"148, 55","Avondale,AZ",51.0,5 mph,Mostly Clear
-35.72925,"78, 8","Brownsville,TX",71.0,6 mph,Mostly Clear
-29.321600000000004,"105, 111","Gulfport,MS",65.0,0 to 5 mph,Mostly Clear then Patchy Fog
-22.0556,"66, 19","Appleton,WI",34.0,7 mph,Mostly Cloudy
-37.5843,"111, 67","Bremerton,WA",30.0,8 mph,Rain Showers
-22.79025,"98, 85","Hickory,NC",53.0,7 mph,Mostly Clear
-37.605,"116, 51","Tacoma,WA",32.0,6 to 10 mph,Chance Rain Showers
-41.57645,"61, 76","San Bernardino,CA",50.0,10 mph,Rain Showers Likely then Light Rain
-32.8554,"30, 133","College Station,TX",66.0,5 mph,Mostly Clear then Patchy Fog
-21.65665,"45, 15","Kalamazoo,MI",32.0,6 mph,Partly Cloudy
-42.34205,"132, 54","Thousand Oaks,CA",52.0,5 to 15 mph,Rain Showers then Rain
-21.33975,"73, 68","Roanoke,VA",46.0,6 mph,Mostly Clear
-41.68155,"55, 75","Fontana,CA",51.0,5 to 10 mph,Rain Showers Likely then Light Rain Likely
-41.64005,"63, 66","Moreno Valley,CA",51.0,10 mph,Rain Showers Likely then Light Rain Likely
-27.569900000000004,"84, 59","North Port,FL",68.0,7 mph,Partly Cloudy
-24.982,"98, 55","Fargo,ND",33.0,8 to 20 mph,Mostly Cloudy
-21.7373,"79, 31","Green Bay,WI",36.0,7 mph,Mostly Cloudy
-39.5816,"117, 94","Spring Valley,NV",52.0,14 to 20 mph,Partly Cloudy
-33.31615000000001,"47, 24","Amarillo,TX",52.0,15 mph,Mostly Cloudy then Patchy Fog
-13.2971,"75, 59","Portland,ME",39.0,15 mph,Clear
-42.64585,"104, 70","Santa Barbara,CA",53.0,5 to 15 mph,Rain Showers then Rain
-26.3327,"41, 33","Gainesville,FL",64.0,7 mph,Mostly Clear
-37.9271,"100, 44","Olympia,WA",29.0,3 to 7 mph,Chance Rain Showers
-31.833,"88, 120","Frisco,TX",68.0,10 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-16.460400000000003,"35, 45","Yonkers,NY",44.0,9 to 13 mph,Mostly Clear
-15.26935,"91, 82","Norwich,CT",41.0,10 mph,Clear
-42.0325,"155, 50","Glendale,CA",50.0,10 to 15 mph,Rain Showers then Rain
-42.15325,"32, 61","Huntington Beach,CA",56.0,5 to 15 mph,Rain Showers Likely then Light Rain
-26.15435,"31, 85","Deltona,FL",70.0,10 mph,Slight Chance Rain Showers
-23.2632,"52, 66","Aurora,IL",36.0,5 to 10 mph,Partly Cloudy
-39.27185,"163, 53","Tempe,AZ",53.0,0 to 5 mph,Mostly Clear
-27.9,"39, 40","Overland Park,KS",48.0,10 mph,Mostly Cloudy
-32.16685,"80, 99","Grand Prairie,TX",67.0,5 mph,Mostly Cloudy
-39.43525,"125, 97","Sunrise Manor,NV",54.0,15 mph,Partly Cloudy
-32.814150000000005,"73, 49","Waco,TX",66.0,5 mph,Partly Cloudy
-42.47165,"103, 52","Salinas,CA",47.0,8 to 21 mph,Rain Showers
-15.7389,"59, 77","Waterbury,CT",40.0,6 to 12 mph,Clear
-25.38625,"28, 73","Clarksville,TN",53.0,5 mph,Mostly Cloudy
-24.85585,"28, 85","Cedar Rapids,IA",33.0,10 mph,Mostly Clear
-26.59615,"98, 64","Sioux Falls,SD",32.0,15 mph,Mostly Cloudy
-22.01175,"33, 66","Huntington,WV",41.0,6 mph,Partly Cloudy
-41.78355,"49, 73","Ontario,CA",52.0,0 to 10 mph,Rain Showers Likely then Light Rain
-19.0408,"68, 102","Hagerstown,MD",39.0,12 mph,Mostly Clear
-18.978250000000003,"134, 98","Erie,PA",41.0,9 to 14 mph,Partly Cloudy
-38.48005,"115, 108","Vancouver,WA",35.0,6 mph,Chance Rain Showers then Areas Of Frost
-36.4893,"120, 85","Nampa,ID",32.0,8 mph,Mostly Cloudy
-23.491000000000003,"80, 47","Spartanburg,SC",57.0,6 to 9 mph,Partly Cloudy
-22.96795,"105, 64","Gastonia,NC",56.0,9 mph,Partly Cloudy
-27.0026,"109, 66","Fort Lauderdale,FL",74.0,15 mph,Partly Cloudy then Slight Chance Rain Showers
-20.37155,"66, 60","Lorain,OH",44.0,13 mph,Partly Cloudy
-25.28135,"63, 43","Murfreesboro,TN",55.0,5 mph,Partly Cloudy
-22.00155,"24, 60","High Point,NC",51.0,8 to 12 mph,Mostly Clear
-19.7067,"80, 61","Newport News,VA",49.0,9 to 17 mph,Clear
-41.7209,"51, 77","Rancho Cucamonga,CA",49.0,5 to 10 mph,Rain Showers Likely then Light Rain
-41.6314,"69, 56","Hemet,CA",50.0,10 mph,Rain Showers Likely then Light Rain Likely
-42.52785,"91, 67","Santa Cruz,CA",45.0,10 to 18 mph,Rain Showers
-16.0347,"46, 68","Danbury,CT",40.0,8 mph,Mostly Clear
-39.25725,"152, 73","Peoria,AZ",51.0,0 to 5 mph,Mostly Clear
-42.0418,"54, 36","Oceanside,CA",56.0,10 to 15 mph,Rain Showers Likely then Light Rain Likely
-41.484100000000005,"42, 59","Elk Grove,CA",47.0,7 to 18 mph,Rain
-27.1627,"102, 59","Pembroke Pines,FL",72.0,12 mph,Partly Cloudy
-42.06125,"10, 52","Vallejo,CA",47.0,8 to 14 mph,Rain Likely then Showers And Thunderstorms
-42.0907,"34, 64","Garden Grove,CA",56.0,5 to 10 mph,Rain Showers Likely then Light Rain
-39.6022,"118, 91","Enterprise,NV",50.0,14 to 18 mph,Partly Cloudy
-40.25825,"106, 73","Medford,OR",37.0,3 mph,Chance Rain Showers
-21.518550000000005,"67, 56","Cary,NC",52.0,7 to 10 mph,Clear
-37.0376,"134, 88","Marysville,WA",28.0,5 mph,Rain Showers Likely
-41.85164999999999,"49, 65","Corona,CA",52.0,5 to 10 mph,Rain Showers Likely then Light Rain
-26.48655,"51, 11","Ocala,FL",66.0,6 mph,Mostly Clear
-19.594,"84, 43","Fredericksburg,VA",44.0,10 to 15 mph,Mostly Clear
-24.7699,"68, 111","Gainesville,GA",62.0,5 to 10 mph,Mostly Clear
-14.22995,"42, 20","Manchester,NH",39.0,15 mph,Clear
-23.8921,"156, 123","Bayamón,PR",74.0,6 mph,Scattered Rain Showers
-24.07955,"94, 71","Champaign,IL",34.0,13 mph,Partly Cloudy
-19.1338,"95, 68","Alexandria,VA",46.0,10 to 14 mph,Mostly Clear
-42.2222,"95, 96","Hayward,CA",48.0,12 to 17 mph,Showers And Thunderstorms
-24.9414,"46, 54","Springfield,IL",37.0,9 to 15 mph,Mostly Cloudy
-32.70955,"57, 59","Lakewood,CO",37.0,9 mph,Mostly Cloudy
-23.2302,"31, 95","Lafayette,IN",37.0,8 mph,Mostly Cloudy
-18.990250000000003,"80, 94","Frederick,MD",42.0,9 mph,Partly Cloudy
-31.5055,"59, 92","Lake Charles,LA",67.0,5 mph,Mostly Clear then Patchy Fog
-35.22875,"113, 128","Odessa,TX",62.0,15 mph,Slight Chance Rain Showers then Patchy Drizzle
-27.145950000000003,"32, 69","Tuscaloosa,AL",64.0,5 mph,Mostly Clear
-25.52795,"81, 37","Warner Robins,GA",65.0,5 mph,Mostly Clear
-41.75565,"163, 67","Palmdale,CA",48.0,20 to 25 mph,Rain Showers Likely then Rain Likely
-27.069250000000004,"108, 61","Hollywood,FL",74.0,13 mph,Partly Cloudy then Slight Chance Rain Showers
-35.0444,"122, 134","Midland,TX",64.0,15 mph,Slight Chance Rain Showers then Patchy Drizzle
-26.56695000000001,"5, 76","Leesburg,FL",70.0,10 mph,Partly Cloudy
-32.0355,"32, 77","Port Arthur,TX",72.0,5 to 10 mph,Mostly Clear
-21.5141,"19, 57","Muskegon,MI",34.0,7 mph,Mostly Clear
-25.44545,"78, 46","Macon,GA",65.0,5 mph,Mostly Clear
-27.81045,"37, 51","Kansas City,KS",48.0,10 mph,Mostly Cloudy
-42.321,"95, 85","Sunnyvale,CA",46.0,12 to 18 mph,Showers And Thunderstorms
-41.852050000000006,"172, 41","Pomona,CA",52.0,10 to 15 mph,Rain Showers then Rain
-41.96875,"62, 31","Escondido,CA",55.0,5 to 10 mph,Chance Rain Showers then Light Rain Likely
-32.7458,"73, 92","Pasadena,TX",69.0,5 mph,Mostly Clear then Patchy Fog
-14.636550000000003,"81, 59","New Bedford,MA",41.0,10 mph,Clear
-41.8866,"18, 57","Fairfield,CA",47.0,8 to 14 mph,Rain
-23.2087,"57, 65","Naperville,IL",37.0,5 to 10 mph,Partly Cloudy
-37.2792,"129, 65","Bellevue,WA",32.0,5 mph,Rain Showers Likely
-16.903950000000002,"65, 56","Binghamton,NY",37.0,6 to 9 mph,Partly Cloudy
-22.1356,"38, 63","Elkhart,IN",34.0,5 mph,Partly Cloudy
-28.33045,"80, 47","Topeka,KS",49.0,10 mph,Mostly Cloudy then Slight Chance Rain Showers
-23.3155,"58, 55","Joliet,IL",37.0,5 to 10 mph,Partly Cloudy
-32.0301,"24, 87","Beaumont,TX",67.0,0 to 5 mph,Mostly Clear
-16.62385,"26, 42","Paterson,NJ",43.0,7 to 10 mph,Mostly Clear
-41.58605,"32, 129","Merced,CA",47.0,5 to 15 mph,Rain
-33.17035,"94, 64","Pueblo,CO",36.0,0 to 5 mph,Partly Cloudy
-31.493900000000004,"18, 59","Tyler,TX",67.0,5 mph,Patchy Fog
-42.25355,"149, 35","Torrance,CA",55.0,10 to 15 mph,Rain Showers then Rain
-40.9748,"62, 32","Yuma,AZ",57.0,5 to 10 mph,Partly Cloudy
-30.09015,"64, 90","Metairie,LA",70.0,5 mph,Partly Cloudy then Patchy Fog
-39.3862,"145, 69","Surprise,AZ",49.0,5 mph,Mostly Clear
-26.6889,"19, 86","Columbia,MO",45.0,9 mph,Mostly Cloudy then Chance Rain Showers
-24.70905,"86, 98","Athens,GA",62.0,0 to 5 mph,Mostly Clear
-41.27465,"48, 74","Roseville,CA",48.0,10 to 18 mph,Rain
-32.51205,"64, 69","Thornton,CO",35.0,6 mph,Mostly Cloudy
-27.1789,"102, 58","Miramar,FL",72.0,12 mph,Partly Cloudy
-41.98965,"159, 48","Pasadena,CA",51.0,10 to 15 mph,Rain Showers then Rain
-31.9133,"96, 102","Mesquite,TX",66.0,5 mph,Mostly Cloudy
-27.9683,"34, 40","Olathe,KS",48.0,12 mph,Mostly Cloudy
-42.754900000000006,"82, 97","Santa Maria,CA",49.0,10 to 15 mph,Rain Showers Likely then Rain
-30.56295,"44, 71","Houma,LA",67.0,0 to 5 mph,Partly Cloudy then Patchy Fog
-31.955450000000003,"85, 112","Carrollton,TX",67.0,5 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy
-34.739850000000004,"94, 102","Grand Junction,CO",44.0,15 mph,Mostly Clear
-21.64195,"62, 66","Charleston,WV",42.0,3 mph,Mostly Clear
-42.009,"40, 64","Orange,CA",55.0,5 to 15 mph,Rain Showers Likely then Light Rain
-42.0219,"36, 69","Fullerton,CA",55.0,5 to 10 mph,Rain Showers Likely then Light Rain
-32.17775,"72, 91","Greeley,CO",33.0,6 mph,Mostly Cloudy
